price;latitude;longitude;count;neighbourhood
115.13388396043642;47.6713296321927;-122.38621979878505;9807;Adams
153.41300613496932;47.575449229080554;-122.40885155524545;4075;Alki
95.65517241379311;47.510262099143645;-122.37952494545081;435;Arbor Heights
104.0678750992326;47.594873417586584;-122.3056168816256;7558;Atlantic
164.99252103459023;47.615280204522236;-122.34622430186792;32090;Belltown
83.27214076246334;47.72077677568381;-122.35314505086309;1705;Bitter Lake
186.4389534883721;47.64762174274912;-122.4061313285236;688;Briarcliff
58.404283801874165;47.54351194551781;-122.2730313304423;1494;Brighton
106.12369701181376;47.71693136352174;-122.36000783168474;1439;Broadview
119.63925690450378;47.62108148881808;-122.32113028524516;54421;Broadway
124.6046307151231;47.66719025200223;-122.28637558179166;3412;Bryant
118.68930817610062;47.720947205580245;-122.28671023147396;795;Cedar Park
161.6271336080047;47.609647590225784;-122.33528591169524;10194;Central Business District
95.81881364150638;47.559066170383005;-122.28520479712174;6187;Columbia City
77.5655930871956;47.697322828732105;-122.3711991485648;2546;Crown Hill
71.95352323838081;47.52600235301132;-122.27381033844604;2668;Dunlap
144.7851783927976;47.636747561274085;-122.34758015577115;11996;East Queen Anne
120.69917881682588;47.64055840858601;-122.3248790210223;5967;Eastlake
160.82078986587183;47.55254017337067;-122.38238548451821;2684;Fairmount Park
113.41180923542771;47.521230870816765;-122.39011207742003;1321;Fauntleroy
129.7802729528536;47.61047674568865;-122.32657033036648;16120;First Hill
129.55419323197646;47.657144750108095;-122.35215451070302;18351;Fremont
163.8211041229909;47.53899535767901;-122.38545803405303;1431;Gatewood
137.08854265627969;47.565293240148456;-122.38629916715512;5263;Genesee
71.91228070175438;47.54589062053597;-122.31981704731746;684;Georgetown
154.25044780980298;47.67904635045267;-122.32995128852718;6141;Green Lake
108.74360308786538;47.693126773020154;-122.35465383289447;11529;Greenwood
101.47896879240163;47.71569438553748;-122.33247649410977;2211;Haller Lake
103.03618906942393;47.622350160603546;-122.29102220697509;1354;Harrison/Denny-Blaine
118.23263888888889;47.54772866753497;-122.36598828834354;288;High Point
80.23960396039604;47.5270640292101;-122.34937731172813;505;Highland Park
152.1451612903226;47.53720635132885;-122.2851670782759;62;Holly Park
228.93650793650792;47.581087554415326;-122.32747927829746;315;Industrial District
102.48953301127214;47.63866397771397;-122.38208213154779;621;Interbay
97.00524616626312;47.600148093799675;-122.32588243599642;2478;International District
99.68193604148661;47.66253483629064;-122.27920462929887;1157;Laurelhurst
152.24576802507838;47.65181479438892;-122.39131597711838;3190;Lawton Park
170.59037974683545;47.59918036585343;-122.29323945240532;5925;Leschi
129.12486522911053;47.62473818944202;-122.35495029344646;14840;Lower Queen Anne
113.57371452954982;47.68060836295227;-122.38336443180715;4687;Loyal Heights
137.70585664335664;47.635300550057536;-122.28053350259972;2288;Madison Park
144.6573726541555;47.61294572459152;-122.29173166978906;7460;Madrona
112.14007447722716;47.613151758838406;-122.29954575704632;6982;Mann
74.00944833892106;47.69765765054728;-122.31539703541328;3281;Maple Leaf
111.13475177304964;47.69840414443873;-122.27899069573692;1410;Matthews Beach
86.40457256461232;47.701940780224234;-122.29460701133303;1006;Meadowbrook
88.9224358974359;47.55152167945812;-122.30723737261927;3120;Mid-Beacon Hill
131.32700336700336;47.60895346130587;-122.30891495139228;14850;Minor
236.73192472763287;47.63837144972983;-122.31197516298147;3029;Montlake
98.7284815556191;47.57872487582878;-122.29122440744823;6994;Mount Baker
154.05322880132042;47.578594304911796;-122.38653082562358;4847;North Admiral
143.05273752012883;47.70201771277317;-122.38342227679337;2484;North Beach/Blue Ridge
89.09470250815431;47.58172258567795;-122.3111659840001;8891;North Beacon Hill
86.81198536139067;47.69950460442164;-122.33953828586272;2186;North College Park
77.53667953667954;47.5635800320848;-122.36502731946399;3885;North Delridge
150.99370277078086;47.645665866863986;-122.36664873782424;6352;North Queen Anne
75.41434846266472;47.727660225685796;-122.30315726383924;1366;Olympic Hills
137.37105849877906;47.67554802009667;-122.35405487770653;9419;Phinney Ridge
152.41061946902656;47.608932158429845;-122.34082322622037;3390;Pike-Market
148.49640287769785;47.711365033439016;-122.31668060188785;417;Pinehurst
159.90623245367772;47.60197475760953;-122.33311353483874;1781;Pioneer Square
231.80381679389313;47.64921401297838;-122.32043539708158;1310;Portage Bay
55.5326209223847;47.5160260886808;-122.25751237935562;1778;Rainier Beach
94.81994096425058;47.67444030676775;-122.30081043513201;9147;Ravenna
79.70247933884298;47.54317960840068;-122.35629032229953;1331;Riverview
98.66442083441306;47.67989700771451;-122.31715809721712;3859;Roosevelt
125.0;47.52790259680683;-122.3682472148976;34;Roxhill
100.0818573480134;47.55365048195865;-122.39180291642838;2089;Seaview
105.38334306285269;47.55393345631516;-122.26944233593669;5139;Seward Park
81.7414030261348;47.536851468924546;-122.29547227574507;727;South Beacon Hill
75.14595028067362;47.52763108320658;-122.36113268239878;1247;South Delridge
127.88307349665924;47.6221412130205;-122.33569550566061;5388;South Lake Union
98.59813084112149;47.521499840924506;-122.32857308315126;321;South Park
207.82089552238807;47.641664695756;-122.38760150879507;1139;Southeast Magnolia
164.64536596419669;47.62442120839989;-122.3078044483407;13239;Stevens
185.84608120868745;47.6792091353665;-122.40138367980144;1059;Sunset Hill
83.2845721314356;47.66312360182476;-122.31493370140034;11382;University District
93.70937790157846;47.71043516254121;-122.30957435553073;1077;Victory Heights
174.10966981132074;47.67889248526845;-122.27184876589384;848;View Ridge
153.42065546681354;47.660541814538846;-122.3333294012492;18155;Wallingford
126.81245254365983;47.68943309331924;-122.29389645269656;2634;Wedgwood
176.68345698294937;47.63670100376879;-122.36835625701256;7683;West Queen Anne
147.25588355325806;47.66917529656771;-122.36613885273695;7351;West Woodland
146.27973476999586;47.63057340205988;-122.34249316811146;2413;Westlake
140.03138860457182;47.68337105999023;-122.37138984298859;2931;Whittier Heights
189.23728813559322;47.67053782942577;-122.26800067688139;1003;Windermere
99.7511961722488;47.605167057654256;-122.31973489725236;1672;Yesler Terrace
